sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
F3D0	7793	7113	91.27	6976	6540	83.92	6528	83.77
F3D1	5869	5299	90.29	5227	5028	85.67	5017	85.48
F3D141	5958	5463	91.69	5331	4986	83.69	4863	81.62
F3D142	3183	2914	91.55	2799	2595	81.53	2521	79.2
F3D143	3178	2941	92.54	2822	2553	80.33	2519	79.26
F3D144	4827	4312	89.33	4151	3646	75.53	3507	72.65
F3D145	7377	6741	91.38	6592	6079	82.4	5820	78.89
F3D146	5021	4560	90.82	4450	3968	79.03	3879	77.26
F3D147	17070	15637	91.61	15433	14233	83.38	13006	76.19
F3D148	12405	11413	92	11250	10528	84.87	9935	80.09
F3D149	13083	12017	91.85	11857	11154	85.26	10653	81.43
F3D150	5509	5032	91.34	4880	4349	78.94	4240	76.96
F3D2	19620	18075	92.13	17907	17431	88.84	16835	85.81
F3D3	6758	6250	92.48	6145	5850	86.56	5486	81.18
F3D5	4448	4052	91.1	3930	3716	83.54	3716	83.54
F3D6	7989	7369	92.24	7231	6865	85.93	6678	83.59
F3D7	5129	4765	92.9	4646	4426	86.29	4215	82.18
F3D8	5294	4871	92.01	4786	4576	86.44	4547	85.89
F3D9	7070	6504	91.99	6341	6092	86.17	6015	85.08
Mock	4779	4314	90.27	4287	4269	89.33	4269	89.33
