sample-id	forward-read	reverse-read
F3D0	./data/validation/MiSeq_SOP/F3D0_R1.fastq	./data/validation/MiSeq_SOP/F3D0_R2.fastq
F3D1	./data/validation/MiSeq_SOP/F3D1_R1.fastq	./data/validation/MiSeq_SOP/F3D1_R2.fastq
F3D141	./data/validation/MiSeq_SOP/F3D141_R1.fastq	./data/validation/MiSeq_SOP/F3D141_R2.fastq
F3D142	./data/validation/MiSeq_SOP/F3D142_R1.fastq	./data/validation/MiSeq_SOP/F3D142_R2.fastq
F3D143	./data/validation/MiSeq_SOP/F3D143_R1.fastq	./data/validation/MiSeq_SOP/F3D143_R2.fastq
F3D144	./data/validation/MiSeq_SOP/F3D144_R1.fastq	./data/validation/MiSeq_SOP/F3D144_R2.fastq
F3D145	./data/validation/MiSeq_SOP/F3D145_R1.fastq	./data/validation/MiSeq_SOP/F3D145_R2.fastq
F3D146	./data/validation/MiSeq_SOP/F3D146_R1.fastq	./data/validation/MiSeq_SOP/F3D146_R2.fastq
F3D147	./data/validation/MiSeq_SOP/F3D147_R1.fastq	./data/validation/MiSeq_SOP/F3D147_R2.fastq
F3D148	./data/validation/MiSeq_SOP/F3D148_R1.fastq	./data/validation/MiSeq_SOP/F3D148_R2.fastq
F3D149	./data/validation/MiSeq_SOP/F3D149_R1.fastq	./data/validation/MiSeq_SOP/F3D149_R2.fastq
F3D150	./data/validation/MiSeq_SOP/F3D150_R1.fastq	./data/validation/MiSeq_SOP/F3D150_R2.fastq
F3D2	./data/validation/MiSeq_SOP/F3D2_R1.fastq	./data/validation/MiSeq_SOP/F3D2_R2.fastq
F3D3	./data/validation/MiSeq_SOP/F3D3_R1.fastq	./data/validation/MiSeq_SOP/F3D3_R2.fastq
F3D5	./data/validation/MiSeq_SOP/F3D5_R1.fastq	./data/validation/MiSeq_SOP/F3D5_R2.fastq
F3D6	./data/validation/MiSeq_SOP/F3D6_R1.fastq	./data/validation/MiSeq_SOP/F3D6_R2.fastq
F3D7	./data/validation/MiSeq_SOP/F3D7_R1.fastq	./data/validation/MiSeq_SOP/F3D7_R2.fastq
F3D8	./data/validation/MiSeq_SOP/F3D8_R1.fastq	./data/validation/MiSeq_SOP/F3D8_R2.fastq
F3D9	./data/validation/MiSeq_SOP/F3D9_R1.fastq	./data/validation/MiSeq_SOP/F3D9_R2.fastq
Mock	./data/validation/MiSeq_SOP/Mock_R1.fastq	./data/validation/MiSeq_SOP/Mock_R2.fastq
