id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	batch14_MT_20210808_087	batch11_MT_20210805_005	batch12_MT_20210806_005_20210806121327	batch13_MT_20210807_005	batch14_MT_20210808_005	batch14_MT_20210808_089	batch14_MT_20210808_179	batch14_MT_20210808_181
F1	83.0603	170.72	168.8	175.35	0	68233281	1.0	0.89	5	8	11999810	13963539	13572898	12448054	11857819	11774404	10883477	10342329
F3	150.9978	149.65	147.79	153.1	387	4748541	1.0	0.99	714	4	1264368	0	0	0	0	1134894	1266462	1085707
F5	189.074	112.81	110.84	117.41	747	129493971	1.0	0.88	3114	8	15067049	16380649	17191291	18818455	16687801	15865985	14474379	13783288
F6	151.0616	37.57	32.94	41.05	388	7650606	0.93	0.76	30	8	950822	825097	1080694	1002974	1158873	979590	897599	969991
F7	151.0616	65.54	61.8	68.51	388	10462697	1.0	0.92	24	8	1429158	1139811	971744	1128466	1228619	1455095	1575916	1610632
F9	151.0616	131.83	127.23	136.45	388	18418071	1.0	0.94	55	8	1805904	2633239	2689653	2785049	2825699	1982693	1842368	1751270
F13	84.0444	173.81	169.18	178.44	1	223323080	1.0	0.9	54	8	5537018	57663278	52570450	47681862	43934538	5592467	5494101	5333602
F14	84.0444	196.35	192.16	200.92	1	168822841	1.0	0.85	55	8	31505539	8896918	8344411	10567488	20144492	30488967	30534878	28300374
F15	189.0871	188.32	186.8	191.76	748	3276532	0.84	0.94	21	4	806980	0	0	0	0	899840	761190	822522
F18	189.0871	223.54	220.5	227.66	748	10720988	0.86	0.74	191	4	50296	0	0	0	0	6253999	90235	4530541
F19	189.0871	234.44	230.67	238.64	748	31049571	1.0	0.93	622	4	2799603	0	0	0	0	15426712	1788358	11056898
F20	84.0808	129.52	126.09	134.14	2	33239848	1.0	0.92	32	8	3605623	3876308	4956308	5571413	5738826	3562333	3256920	3194580
F22	84.0808	228.41	223.91	232.91	2	101063770	1.0	0.93	34	8	5760663	21326425	20249296	18505246	18044634	6736338	6028273	6259698
F23	151.0866	18.38	17.26	22.58	389	19811474	1.0	0.96	62	8	3255743	1974753	2196880	2194339	2125693	2848780	3078952	2638776
F26	235.1189	37.57	34.1	41.43	1108	14834784	1.0	0.8	1448	8	2703857	833759	1145974	1113325	934838	2770572	2824071	2627088
F27	235.1189	43.37	41.43	47.6	1108	10826552	1.0	0.99	1315	8	1845329	1147490	730468	830469	679466	2020687	1888659	1938287
F28	84.9112	140.61	137.22	144.79	3	19392709	1.0	0.95	2794	8	2309461	2327218	2307391	2325516	2206086	2491726	2258420	2390432
F29	235.1692	14.99	13.48	18.01	1109	943716	1.0	0.9	152	1	956721	0	0	0	0	0	0	0
F30	235.9206	139.49	137.6	142.49	1110	189609535	1.0	0.98	31386	8	38805098	7926558	8954411	8807308	8415699	37717001	37865981	38429832
F31	85.0284	94.15	91.87	95.32	5	941349	0.83	0.85	19	8	131167	77601	106456	91553	110863	117981	129566	151143
F32	85.0284	136.83	134.14	137.98	5	2092634	1.0	0.99	15	8	316656	66635	253788	236899	272591	351486	301914	278273
F33	85.0284	160.0	156.58	164.57	5	56632542	1.0	0.97	553	8	5783923	8407035	8277236	7987076	7212252	6164669	5532261	5721389
F34	85.0284	174.19	171.88	178.05	5	2096889	0.92	0.83	21	8	88161	503115	452623	428286	354254	81220	97346	108884
F35	85.0284	182.66	180.36	187.18	5	6186333	1.0	0.84	65	8	724610	1039429	836551	689636	676299	870178	693923	753777
F36	85.0284	196.72	194.46	200.92	5	2733026	0.91	0.87	24	8	586733	120513	134549	181701	169837	460318	546574	530194
F37	85.0477	173.42	171.88	178.05	6	9747587	1.0	0.86	106	8	243954	2629149	2210964	2199447	1939862	196775	175157	169279
F38	85.0477	196.72	192.54	201.32	6	7073850	1.0	0.85	117	8	1371539	355813	370066	480133	847881	1158668	1245192	1245840
F42	151.0965	23.7	21.04	28.31	390	10018217	1.0	0.9	135	8	1875388	402623	572633	334886	336866	1985390	2351766	2324929
F45	189.1235	136.83	132.21	137.98	749	1941743	0.94	0.97	20	8	284141	118949	215631	221512	232291	274280	226378	337764
F46	189.1235	160.37	157.74	164.57	749	13738158	1.0	0.97	193	8	1755878	1957309	2028291	1518186	1327929	1574174	1653527	1736865
F48	189.1235	176.89	173.81	178.05	749	2093504	0.92	0.83	21	8	332576	138967	214118	259059	304310	317449	265397	273628
F49	189.1235	181.52	178.05	182.66	749	8036932	1.0	0.92	148	8	1045617	838976	830588	778565	751129	1277563	1209581	1317913
F50	189.1235	211.26	207.81	214.72	749	4070222	0.96	0.98	27	8	806930	283900	241108	214768	155722	834641	794104	758049
F51	189.1275	15.75	14.23	17.63	750	716700	1.0	0.99	44	3	396436	0	0	0	0	0	103494	226774
F52	236.1394	7.01	4.69	10.82	1112	860568	1.0	0.99	78	1	0	888688	0	0	0	0	0	0
F53	236.1394	18.01	16.13	22.58	1112	2337949	1.0	0.95	128	5	696112	80339	0	0	0	332728	637854	608924
F54	189.1316	161.13	156.58	165.72	751	12437980	1.0	0.89	1378	8	1022621	1860101	1992556	2019719	1628122	1250661	1156780	1076515
F57	151.123	7.39	2.78	10.82	393	3900467	1.0	0.78	4	7	397715	2123397	0	499061	366866	416445	414272	341321
F58	151.123	12.72	10.82	14.61	393	2724930	1.0	0.99	5	7	164843	187559	0	1970141	242592	234204	149702	132948
F59	151.123	19.14	16.13	23.32	393	10341736	1.0	0.99	14	7	2168878	190637	0	203614	2239253	2111816	1926815	2021073
F62	189.1347	215.49	212.04	220.12	752	54169388	1.0	0.78	170	8	3470360	18398073	9987383	6800291	5915263	3343012	2951642	2915771
F63	189.1347	227.29	223.91	231.41	752	17876561	0.83	0.79	58	8	319344	5165647	5441591	3568784	2658779	461835	274856	319107
F64	236.1646	24.07	22.95	26.75	1113	764662	0.85	0.89	9	4	280146	0	0	0	0	212526	107201	175789
F65	236.1646	33.71	29.46	38.35	1113	2458077	0.85	0.94	12	4	549329	0	0	0	0	613453	644228	675067
