# VOC Baseline — Reese et al. 2019 (Table 1)
# Source: PMC6761164 (10.1038/s41598-019-50125-z)
# Method: SPME-GC-MS of Microchloropsis salina + Brachionus plicatilis
# Extracted: 2026-02-19 from PMC full text Table 1
#
# Column definitions:
#   compound_id: sequential ID from Table 1
#   base_peak_mz: base peak m/z from deconvoluted mass spectrum
#   tentative_class: compound class from fragmentation
#   nist_id: NIST14 library match name (empty if unidentified)
#   nist_match_pct: NIST spectral match percentage (0 if unidentified)
#   experimental_ri: experimental retention index (Kovats)
#   theoretical_ri: literature retention index (0 if unavailable)
#   condition: A+R = algae+rotifer only; A+R,A = both conditions
#   n_experiments: number of replicate experiments where detected (of 3)
compound_id	base_peak_mz	tentative_class	nist_id	nist_match_pct	experimental_ri	theoretical_ri	condition	n_experiments
1	82	Carotenoid	2,2,6-trimethylcyclohexanone	79	1021	1036	A+R	2
2	107		 	0	1181	0	A+R	3
3	121	Phenol	 	0	1191	0	A+R	2
4	137	Carotenoid	beta-cyclocitral	81	1209	1220	A+R	3
5	121	Carotenoid	4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2-butanone	76	1419	1433	A+R	3
6	177	Carotenoid	trans-beta-ionone	94	1495	1486	A+R	3
7	57	Alkane	 	0	1691	0	A+R	3
8	71		 	0	1039	0	A+R,A	2
9	96	Methyl Ester	3-Nonenoic acid methyl ester	74	1134	1191	A+R,A	3
10	341		 	0	1139	0	A+R,A	2
11	71		 	0	1293	0	A+R,A	2
12	138	Terpene/Carotenoid	 	0	1338	0	A+R,A	2
13	73	Fatty acid	Hexadecanoic acid	0	1983	1968	A+R,A	2
14	192		 	0	2197	0	A+R,A	2
